species,code,age,sex,visit_date,wing,weight,min_t,max_t,ringer,sheet
Robin,ROBIN,3,,24/07/2019,69,17.7,24.8,27.7,SB,SB_20190725
Robin,ROBIN,3J,,24/07/2019,73,19.6,26.5,29.8,SB,SB_20190725
Coal Tit,COATI,4,,24/07/2019,60,9.3,16.9,19.9,SB,SB_20190725
Robin,ROBIN,3J,,24/07/2019,73,18.8,26.4,29.7,SB,SB_20190725
Coal Tit,COATI,4,,24/07/2019,,8.7,17.4,20,SB,SB_20190725
Robin,ROBIN,3J,,24/07/2019,73,20,26.4,29.2,SB,SB_20190725
Blackbird,BLABI,5,F,03/02/2019,128,109.1,34,38.7,RJF,RJF_20190227
Blackbird,BLABI,6,F,03/02/2019,130,103.1,31.7,36.7,RJF,RJF_20190227
Blackbird,BLABI,6,M,03/02/2019,132,103.4,33.7,38.2,RJF,RJF_20190227
Blackbird,BLABI,5,M,10/02/2019,132,97.3,33.6,38.3,RJF,RJF_20190227
Blackbird,BLABI,6,M,10/02/2019,133,111.3,35,39.6,RJF,RJF_20190227
Blackbird,BLABI,5,M,10/02/2019,130,101.8,34,39,RJF,RJF_20190227
Blackbird,BLABI,5,M,23/02/2019,125,86.1,33.8,38.6,RJF,RJF_20190227
Blackbird,BLABI,6,F,23/02/2019,119,84.4,32.6,37.2,RJF,RJF_20190227
Blackbird,BLABI,5,F,25/02/2019,,118.1,34,38.8,RJF,RJF_20190227
Blackbird,BLABI,6,M,27/02/2019,131,96.6,35,39.7,RJF,RJF_20190227
Chaffinch,CHAFF,5,M,12/02/2019,84,20.8,18.4,20.2,RJF,RJF_20190227
Chaffinch,CHAFF,5,M,12/02/2019,89,22.2,19.2,20.8,RJF,RJF_20190227
Chaffinch,CHAFF,5,M,12/02/2019,91,23,17,20.1,RJF,RJF_20190227
Chaffinch,CHAFF,6,F,26/02/2019,81,20.2,18.1,20.5,RJF,RJF_20190227
Dunnock,DUNNO,5,U,23/02/2019,69,18.9,21.2,24.4,RJF,RJF_20190227
Dunnock,DUNNO,4,U,23/02/2019,68,21.6,20.3,23.4,RJF,RJF_20190227
Great Tit,HAWF,6,M,26/02/2019,107,49.8,21,24.8,RJF,RJF_20190227
Great Tit,HAWF,6,M,26/02/2019,105,,20.8,24.9,RJF,RJF_20190227
House Sparrow,HOUSP,4,M,23/02/2019,75,27.6,18.9,20.2,RJF,RJF_20190227
House Sparrow,HOUSP,4,F,23/02/2019,73,23.9,19.2,20.1,RJF,RJF_20190227
House Sparrow,HOUSP,4,F,23/02/2019,73,25.8,17.8,20.5,RJF,RJF_20190227
House Sparrow,HOUSP,4,M,23/02/2019,73,26.7,18.4,21.5,RJF,RJF_20190227
House Sparrow,HOUSP,4,M,23/02/2019,77,26,19.8,22.5,RJF,RJF_20190227
House Sparrow,HOUSP,4,F,23/02/2019,76,26.3,19.3,22.2,RJF,RJF_20190227
Nuthatch,NUTHA,4,m,26/02/2019,85,22.5,20.3,23.2,RJF,RJF_20190227
Robin,ROBIN,5,U,10/02/2019,75,21.8,26.5,29,RJF,RJF_20190227
Robin,ROBIN,4,U,11/02/2019,70,18.3,25.2,28.1,RJF,RJF_20190227
Robin,ROBIN,4,U,11/02/2019,75,19.5,25.1,28.5,RJF,RJF_20190227
Robin,ROBIN,5,U,26/02/2019,76,17.9,25.6,28.4,RJF,RJF_20190227
Robin,ROBIN,6,U,26/02/2019,76,19.8,25,27.5,RJF,RJF_20190227
Robin,ROBIN,6,M,27/02/2019,67,20.3,26.8,29.3,RJF,RJF_20190227
House Sparrow,HOUSP,4,M,01/07/2019,76,27.6,20.1,22.7,RJF,RJF_20190806
House Sparrow,HOUSP,4,M,01/07/2019,77,26.4,20.1,22,RJF,RJF_20190806
House Sparrow,HOUSP,4,M,02/07/2019,77,26.5,18.7,21.1,RJF,RJF_20190806
Blackbird,BLABI,6,M,02/07/2019,132,81.1,34.9,40,RJF,RJF_20190806
House Sparrow,HOUSP,4,M,03/07/2019,76,21.1,16.6,19.4,RJF,RJF_20190806
Blue Tit,BLUTI,5,F,27/05/2019,63,9.9,15.6,17.7,IDH,IDH_20190530
Blue Tit,BLUTI,6,F,26/05/2019,61,9.8,15.8,17.9,IDH,IDH_20190530
Blue Tit,BLUTI,6,F,13/05/2019,63,10.2,16.1,18.2,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,19/05/2019,60,10.1,16.1,18.5,IDH,IDH_20190530
Blue Tit,BLUTI,6,F,15/05/2019,63,10,16.1,18.5,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,17/05/2019,60,9.6,16.2,18.4,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,21/05/2019,62,9.7,16.2,18.8,IDH,IDH_20190530
Blue Tit,BLUTI,6,M,28/05/2019,65,10.1,16.3,18.4,IDH,IDH_20190530
Blue Tit,BLUTI,5,M,27/05/2019,63,9.7,16.4,18.5,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,03/06/2019,61,9.5,16.4,18.6,IDH,IDH_20190530
Blue Tit,BLUTI,5,M,01/06/2019,62,9.5,16.4,18.6,IDH,IDH_20190530
Blue Tit,BLUTI,5,M,24/05/2019,62,9.1,16.4,18.7,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,22/05/2019,62,9.8,16.5,18.9,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,24/05/2019,60,9.4,16.6,18.8,IDH,IDH_20190530
Blue Tit,BLUTI,6,F,30/05/2019,64,11,16.6,19.3,IDH,IDH_20190530
Blue Tit,BLUTI,5,M,30/05/2019,63,10.3,16.7,18.8,IDH,IDH_20190530
Blue Tit,BLUTI,6,M,15/05/2019,65,9.9,16.7,19.2,IDH,IDH_20190530
Blue Tit,BLUTI,5,M,13/05/2019,64,9.9,16.8,19,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,13/05/2019,61,9.7,16.9,18.9,IDH,IDH_20190530
Blue Tit,BLUTI,6,M,03/06/2019,65,10.6,17,19.1,IDH,IDH_20190530
Blue Tit,BLUTI,6,F,27/05/2019,62,9.8,17,19.4,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,30/05/2019,62,9.7,17,19.5,IDH,IDH_20190530
Blue Tit,BLUTI,6,M,15/05/2019,64,9.7,17,19.5,IDH,IDH_20190530
Blue Tit,BLUTI,5,F,03/06/2019,61,9.4,17.1,19.3,IDH,IDH_20190530
Blue Tit,BLUTI,6,M,26/05/2019,65,10.9,17.3,19.5,IDH,IDH_20190530
Blue Tit,BLUTI,6,M,31/05/2019,68,10.1,17.3,19.6,IDH,IDH_20190530
Blue Tit,BLUTI,5,M,03/06/2019,62,9.8,17.4,19.7,IDH,IDH_20190530
Blue Tit,BLUTI,6,F,27/05/2019,62,10.9,17.5,19.9,IDH,IDH_20190530
Blue Tit,BLUTI,5,M,21/05/2019,65,10,17.5,19.9,IDH,IDH_20190530
Blue Tit,BLUTI,6,M,15/05/2019,64,10.6,17.8,20.3,IDH,IDH_20190530
Coal Tit,COATI,5,M,24/05/2019,61,8.1,16.3,18.5,IDH,IDH_20190530
Coal Tit,COATI,6,F,12/05/2019,60,8.7,16.7,18.8,IDH,IDH_20190530
Coal Tit,COATI,5,F,21/05/2019,59,8.4,16.9,19,IDH,IDH_20190530
Coal Tit,COATI,5,F,20/05/2019,60,8.8,17.1,19,IDH,IDH_20190530
Coal Tit,COATI,6,F,17/05/2019,59,9,17.1,19.1,IDH,IDH_20190530
Coal Tit,COATI,6,M,17/05/2019,62,9.2,17.2,19.2,IDH,IDH_20190530
Coal Tit,COATI,5,F,24/05/2019,60,8.2,17.3,19.5,IDH,IDH_20190530
Coal Tit,COATI,6,F,13/05/2019,61,8.6,17.8,20,IDH,IDH_20190530
Coal Tit,COATI,6,F,21/05/2019,60,8.8,18.1,20.3,IDH,IDH_20190530
Coal Tit,COATI,5,M,13/05/2019,61,8.8,18.1,20.3,IDH,IDH_20190530
Coal Tit,COATI,5,M,24/05/2019,62,8.9,18.2,20.3,IDH,IDH_20190530
Great Tit,GRETI,5,F,22/05/2019,71,17.7,19.7,22.4,IDH,IDH_20190530
Great Tit,GRETI,5,F,19/05/2019,74,17.7,20,22.6,IDH,IDH_20190530
Great Tit,GRETI,6,F,19/05/2019,73,17.9,20.1,22.8,IDH,IDH_20190530
Great Tit,GRETI,6,M,19/05/2019,76,18.8,20.2,22.9,IDH,IDH_20190530
Great Tit,GRETI,5,F,22/05/2019,73,17.9,20.5,23.2,IDH,IDH_20190530
Great Tit,GRETI,6,M,23/05/2019,73,18.5,20.5,23.5,IDH,IDH_20190530
Great Tit,GRETI,6,F,23/05/2019,73,17.8,20.7,23.4,IDH,IDH_20190530
Great Tit,GRETI,5,M,19/05/2019,77,19.2,21,23.9,IDH,IDH_20190530
