ring_no,species,code,age,sex,visit_date,location_name,wing,weight,min_t,max_t,ringer,sheet
LK00714,Blackbird,BLABI,6,M,20/04/2018,DF,133,91.1,34.2,38.1,ARC,SB_AC_20180424
LK00726,Blackbird,BLABI,6,F,20/04/2018,DF,122,95.8,33.4,38.4,ARC,SB_AC_20180424
S152135,Chaffinch,CHAFF,6,M,20/04/2018,DF,89,20.4,18.5,21,ARC,SB_AC_20180424
VZ72636,Dunnock,DUNNO,6,M,20/04/2018,DF,70,22.1,22.3,23.9,ARC,SB_AC_20180424
JLH563,Wren,WREN,6,,20/04/2018,DF,50,,17.9,19.5,ARC,SB_AC_20180424
AYC3099,Chaffinch,CHAFF,6,F,20/04/2018,DF,79,18.7,17.9,19.7,ARC,SB_AC_20180424
LK00743,Blackbird,BLABI,6,M,20/04/2018,DF,131,95.7,34,38.9,ARC,SB_AC_20180424
AYC3100,Blackcap,BLACA,6,M,20/04/2018,DF,74,15.7,20.3,22.4,ARC,SB_AC_20180424
AYC3101,Blackcap,BLACA,5,M,20/04/2018,DF,74,16.2,20.3,23.6,SB,SB_AC_20180424
AYC3102,Chaffinch,CHAFF,6,F,20/04/2018,DF,83,21.3,18.4,21.1,SB,SB_AC_20180424
S152832,Blue Tit,BLUTI,6,F,20/04/2018,DF,61,11.6,16.8,19.1,SB,SB_AC_20180424
LK00712,Blackbird,BLABI,5,M,20/04/2018,DF,128,94.9,32.9,37.5,SB,SB_AC_20180424
S873526,Robin,ROBIN,6,,20/04/2018,DF,70,19.5,25.2,28,SB,SB_AC_20180424
D895584,Great Tit,GRETI,6,F,20/04/2018,DF,70,20.9,20,23.2,SB,SB_AC_20180424
AFB9209,Chaffinch,CHAFF,6,M,21/04/2018,HQY,89,20.2,18.1,20.7,SB,SB_AC_20180424
S149992,Chaffinch,CHAFF,6,M,21/04/2018,HQY,88,22.4,18.2,20.8,SB,SB_AC_20180424
AFB9726,Robin,ROBIN,6,F,21/04/2018,HQY,74,20.6,26.8,29.9,SB,SB_AC_20180424
LK00744,Blackbird,BLABI,6,M,25/04/2018,DF,131,89.5,34.1,39.1,SB,SB_20180510
LK00745,Blackbird,BLABI,6,F,30/04/2018,DF,126,103,33.6,38.5,SB,SB_20180510
AYC3094,Robin,ROBIN,6,M,30/04/2018,DF,76,18.5,24.6,27.5,SB,SB_20180510
D955208,Great Tit,GRETI,5,M,03/05/2018,FGANOL (Fforest Ganol),76,19.4,20.8,23.1,JS,Wales_20180503
Y638252,Great Tit,GRETI,6,F,03/05/2018,FGANOL (Fforest Ganol),72,20.6,21,24,JS,Wales_20180503
Y638267,Great Tit,GRETI,6,M,03/05/2018,FGANOL (Fforest Ganol),76,18.7,20.5,23.7,JS,Wales_20180503
D955201,Great Tit,GRETI,5,F,03/05/2018,FGANOL (Fforest Ganol),70,21.3,20.1,23,JS,Wales_20180503
X962885,Great Tit,GRETI,6,M,03/05/2018,FGANOL (Fforest Ganol),75,20.7,21,24.1,JS,Wales_20180503
Y638225,Great Tit,GRETI,5,M,03/05/2018,FGANOL (Fforest Ganol),77,,21,23.2,JS,Wales_20180503
X962876,Great Tit,GRETI,6,M,03/05/2018,FGANOL (Fforest Ganol),74,,21.8,23,JS,Wales_20180503
Y638246,Great Tit,GRETI,6,M,03/05/2018,FGANOL (Fforest Ganol),72,19,20.8,23.8,JS,Wales_20180503
D955227,Great Tit,GRETI,6,F,03/05/2018,FGANOL (Fforest Ganol),73,21.4,20.5,22.8,JS,Wales_20180503
D955226,Great Tit,GRETI,5,M,03/05/2018,FGANOL (Fforest Ganol),77,20,20.3,22.7,JS,Wales_20180503
D955225,Great Tit,GRETI,5,M,03/05/2018,FGANOL (Fforest Ganol),75,20.3,20.6,24,JS,Wales_20180503
D955224,Great Tit,GRETI,5,M,03/05/2018,FGANOL (Fforest Ganol),79,,20.1,23.2,JS,Wales_20180503
Y638266,Great Tit,GRETI,6,m,03/05/2018,FGANOL (Fforest Ganol),,,21.1,23.7,RJF,Wales_20180503
NW76596,Hawfinch,HAWFI,6,F,03/05/2018,FGANOL (Fforest Ganol),103,52.3,21.5,25,RJF,Wales_20180503
NV58578,Hawfinch,HAWFI,6,M,03/05/2018,FGANOL (Fforest Ganol),106,56.2,22.4,26.6,RJF,Wales_20180503
NV58577,Hawfinch,HAWFI,6,M,03/05/2018,FGANOL (Fforest Ganol),102,52,22.6,26.3,JS,Wales_20180503
TL10774,Nuthatch,NUTHA,4,M,03/05/2018,FGANOL (Fforest Ganol),87,24.1,19,21.8,JS,Wales_20180503
LK00746,Blackbird,BLABI,6,M,10/05/2018,DF,129,93.6,34.2,38.4,SB,SB_20180510
LH54359,Blackbird,BLABI,5,M,13/05/2018,HQY,125,94.8,34.1,38.9,IDH,SB_20180705
S149774,Blue Tit,BLUTI,5,F,13/05/2018,HQY,62,10.5,16.4,17.8,IDH,SB_20180705
AFB9773,Chaffinch,CHAFF,6,F,13/05/2018,HQY,80,18.6,16.5,17.7,IDH,SB_20180705
AFB9775,Chaffinch,CHAFF,6,M,13/05/2018,HQY,85,19.5,18.5,21.2,IDH,SB_20180705
S812301,Blue Tit,BLUTI,6,,16/05/2018,TMW,59,12.02,16.4,19.6,JS,JS_20180526
S812305,Blue Tit,BLUTI,6,,16/05/2018,TMW,61,,16.1,19.6,JS,JS_20180526
S812306,Blue Tit,BLUTI,5,,16/05/2018,TMR,61,,17,19.9,JS,JS_20180526
S812309,Blue Tit,BLUTI,5,,16/05/2018,TMR,62,,18,20,JS,JS_20180526
S812310,Blue Tit,BLUTI,6,,16/05/2018,TMR,60,,16.6,19.9,JS,JS_20180526
S812313,Blue Tit,BLUTI,6,,16/05/2018,TMB,61,,16.8,19.7,JS,JS_20180526
S812314,Blue Tit,BLUTI,5,,16/05/2018,TMB,61,,17.3,20.4,JS,JS_20180526
S812315,Blue Tit,BLUTI,6,,16/05/2018,TMB,61,,16.8,19.7,JS,JS_20180526
S812316,Blue Tit,BLUTI,5,,16/05/2018,TMB,59,,16.1,18.5,JS,JS_20180526
S812302,Pied Flycatcher,PIEFL,5,F,16/05/2018,TMW,77,,16.7,19.4,JS,JS_20180526
Z788698,Pied Flycatcher,PIEFL,5,F,16/05/2018,TMW,77,,17.6,19.7,JS,JS_20180526
Z788453,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMW,79,,16.9,20.1,JS,JS_20180526
S812303,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMW,78,,17,20.3,JS,JS_20180526
S812304,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMW,76,,17.6,20.1,JS,JS_20180526
Z105078,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMW,78,,18.1,20.5,JS,JS_20180526
Y189551,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMW,76,,17.7,19.9,JS,JS_20180526
S812307,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMW,77,,16.6,18.9,JS,JS_20180526
S812308,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMR,77,,17.2,19.2,JS,JS_20180526
Z788934,Pied Flycatcher,PIEFL,5,F,16/05/2018,TMR,76,,16.4,18.9,JS,JS_20180526
S812311,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMR,75,,17.3,20,JS,JS_20180526
Z788468,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMB,75,,16.4,19.2,JS,JS_20180526
S812312,Pied Flycatcher,PIEFL,6,F,16/05/2018,TMB,76,,16.6,19.7,JS,JS_20180526
S152156,Coal Tit,COATI,6,F,23/05/2018,,60,8.7,17.3,18.7,IDH,IDH_20180822
S152297,Coal Tit,COATI,6,F,23/05/2018,,61,9.3,17.7,19.4,IDH,IDH_20180822
S842209,Coal Tit,COATI,6,M,23/05/2018,,62,8.5,18.3,19.9,IDH,IDH_20180822
S873922,Coal Tit,COATI,5,M,23/05/2018,,60,8.7,17.5,19,IDH,IDH_20180822
S873923,Coal Tit,COATI,6,F,23/05/2018,,60,9,17.6,19.1,IDH,IDH_20180822
S812318,Pied Flycatcher,PIEFL,6,F,23/05/2018,TMW,76,15.51,16.5,19.9,JS,JS_20180526
S812023,Pied Flycatcher,PIEFL,6,F,23/05/2018,TMW,75,15,16.3,19.9,JS,JS_20180526
S812319,Pied Flycatcher,PIEFL,5,F,23/05/2018,TMR,78,16.43,18,20.7,JS,JS_20180526
S812320,Pied Flycatcher,PIEFL,5,F,23/05/2018,TMR,78,15.49,16.5,19.6,JS,JS_20180526
S812321,Pied Flycatcher,PIEFL,6,F,23/05/2018,TMR,76,14.73,16,19.5,JS,JS_20180526
S812322,Pied Flycatcher,PIEFL,5,F,23/05/2018,TMR,76,15.1,16.3,19.3,JS,JS_20180526
S812323,Pied Flycatcher,PIEFL,6,F,23/05/2018,TMR,76,14.12,16.2,19,JS,JS_20180526
S812324,Pied Flycatcher,PIEFL,5,F,23/05/2018,TMR,75,14.76,16.3,18.9,JS,JS_20180526
S812317,Blue Tit,BLUTI,6,,23/05/2018,TMW,64,12.68,16.4,19,JS,JS_20180526
S812325,Pied Flycatcher,PIEFL,5,F,23/05/2018,TMB,72,14.69,16,18.5,JS,JS_20180526
S152790,Coal Tit,COATI,6,M,24/05/2018,,61,8.8,17.2,19,IDH,IDH_20180822
S152414,Great Tit,GRETI,6,M,24/05/2018,KB,72,,21.1,24.1,SB,SB_20180705
AYC3025,Coal Tit,COATI,5,M,25/05/2018,,61,9.3,16.9,18.7,IDH,IDH_20180822
S842478,Coal Tit,COATI,6,F,25/05/2018,,61,8.7,16.9,18.5,IDH,IDH_20180822
S873946,Coal Tit,COATI,5,F,25/05/2018,,60,9.4,17.3,18.8,IDH,IDH_20180822
S873953,Coal Tit,COATI,6,M,25/05/2018,,62,8.8,17.7,19.3,IDH,IDH_20180822
D895797,Great Tit,GRETI,6,F,25/05/2018,,75,17.2,20.4,22.8,IDH,IDH_20180822
D895845,Great Tit,GRETI,6,M,25/05/2018,,79,18.3,19.5,21.6,IDH,IDH_20180822
S152311,Coal Tit,COATI,6,M,26/05/2018,,62,8.7,17.7,18.9,IDH,IDH_20180822
S873969,Coal Tit,COATI,5,F,26/05/2018,,60,8.9,17.7,18.9,IDH,IDH_20180822
VZ72638,Great Tit,GRETI,5,F,26/05/2018,,73,17.7,21.1,24.2,IDH,IDH_20180822
VZ72695,Great Tit,GRETI,5,M,26/05/2018,,74,17.3,21.3,23.8,IDH,IDH_20180822
VZ72696,Great Tit,GRETI,5,F,26/05/2018,,72,16.6,19.5,21.7,IDH,IDH_20180822
Z663016,Great Tit,GRETI,6,M,26/05/2018,,75,19.2,20.6,23.5,IDH,IDH_20180822
S873970,Coal Tit,COATI,5,M,27/05/2018,,63,8.9,17.6,19.5,IDH,IDH_20180822
D534834,Great Tit,GRETI,6,F,27/05/2018,,75,17.9,18.9,21.5,IDH,IDH_20180822
S152121,Great Tit,GRETI,6,M,27/05/2018,,78,18.6,20.7,23.1,IDH,IDH_20180822
VZ72697,Great Tit,GRETI,6,M,27/05/2018,,76,18.1,21,23.8,IDH,IDH_20180822
VZ80787,Great Tit,GRETI,5,F,27/05/2018,,72,16.5,20,22.5,IDH,IDH_20180822
AYC3190,Blue Tit,BLUTI,5,F,27/05/2018,SP,59,9,17,19.6,SB,SB_20180705
S152242,Blue Tit,BLUTI,6,M,27/05/2018,SP,66,9.4,17.5,19.6,SB,SB_20180705
Z663155,Blue Tit,BLUTI,6,M,27/05/2018,GT,65,9.8,17.4,20.8,SB,SB_20180705
D895688,Great Tit,GRETI,6,M,27/05/2018,KB,79,18.6,21.2,24,SB,SB_20180705
S842227,Great Tit,GRETI,6,F,27/05/2018,GT,74,17.6,20.4,23.4,SB,SB_20180705
S873503,Great Tit,GRETI,6,F,27/05/2018,KB,74,17.5,19.8,22.9,SB,SB_20180705
S873985,Coal Tit,COATI,5,F,28/05/2018,,59,8.9,17.7,19.5,IDH,IDH_20180822
S873986,Coal Tit,COATI,6,M,28/05/2018,,61,8.9,17.7,19.6,IDH,IDH_20180822
AYC3191,Blue Tit,BLUTI,5,F,28/05/2018,GT,60,9.6,16.4,19.4,SB,SB_20180705
S842293,Blue Tit,BLUTI,6,F,28/05/2018,GT,62,10.3,16.7,19,SB,SB_20180705
S152861,Great Tit,GRETI,6,M,28/05/2018,KB,77,18.8,21.7,24.5,SB,SB_20180705
VZ80501,Great Tit,GRETI,5,F,28/05/2018,KB,71,16.9,20.5,23.6,SB,SB_20180705
S152929,Blue Tit,BLUTI,6,M,28/05/2018,GT,67,10.9,18.3,21.1,SB,SB_20180705
NZ05506,Great Tit,GRETI,5,M,29/05/2018,,76,16.7,20.3,23,IDH,IDH_20180822
NZ05507,Great Tit,GRETI,5,F,29/05/2018,,70,16.8,19,21.6,IDH,IDH_20180822
AYC3198,Blue Tit,BLUTI,5,F,29/05/2018,DD,60,9.8,16.1,18.7,SB,SB_20180705
S152148,Great Tit,GRETI,6,M,29/05/2018,GT,76,17.3,19.9,22.9,SB,SB_20180705
