ring_no,species,code,age,sex,visit_date,location_name,wing,weight,min_t,max_t,ringer,sheet
S842385,Blue Tit,BLUTI,5,M,06/06/2018,GT,65,10.6,18.3,20.6,SB,SB_20180731
S842454,Great Tit,GRETI,5,M,06/06/2018,KB,76,18.1,22,25.2,SB,SB_20180731
VZ80526,Great Tit,GRETI,5,F,06/06/2018,KB,72,18.5,21.1,24,SB,SB_20180731
AYC3220,Blue Tit,BLUTI,5,F,07/06/2018,,62,10.4,16.7,18.7,IDH,IDH_20180822
S152781,Blue Tit,BLUTI,6,M,07/06/2018,,62,9.6,15.8,18.4,IDH,IDH_20180822
D895675,Great Tit,GRETI,6,M,07/06/2018,,78,17.7,20.4,23,IDH,IDH_20180822
NZ05573,Great Tit,GRETI,5,M,07/06/2018,,74,18.6,21.4,24,IDH,IDH_20180822
NZ05574,Great Tit,GRETI,5,F,07/06/2018,,71,15.5,19.4,21.9,IDH,IDH_20180822
NZ05575,Great Tit,GRETI,6,F,07/06/2018,,75,18.7,20.5,23.3,IDH,IDH_20180822
NZ05576,Great Tit,GRETI,5,M,07/06/2018,,73,17.5,20.4,22.9,IDH,IDH_20180822
S152386,Great Tit,GRETI,6,F,07/06/2018,,74,18.4,20.3,23.3,IDH,IDH_20180822
D534656,Great Tit,GRETI,6,F,07/06/2018,GT,73,16.9,20.6,23.1,SB,SB_20180731
D534657,Great Tit,GRETI,6,M,07/06/2018,GT,77,18.1,22,25.1,SB,SB_20180731
D895687,Great Tit,GRETI,6,M,07/06/2018,KB,78,17.6,21.5,24.4,SB,SB_20180731
S152001,Great Tit,GRETI,6,F,07/06/2018,KB,72,16.4,20.1,23,SB,SB_20180731
S842706,Great Tit,GRETI,6,M,07/06/2018,PT,77,17.2,19.8,23,SB,SB_20180731
S873501,Great Tit,GRETI,6,M,07/06/2018,GT,77,19.4,21.3,24.9,SB,SB_20180731
S873502,Great Tit,GRETI,6,F,07/06/2018,GT,73,17.4,20.5,23.2,SB,SB_20180731
VZ80532,Great Tit,GRETI,5,F,07/06/2018,PT,70,17.4,19.9,23.2,SB,SB_20180731
AYC3221,Blue Tit,BLUTI,5,F,08/06/2018,,61,9,14.8,16.3,IDH,IDH_20180822
D895508,Blue Tit,BLUTI,6,M,08/06/2018,,65,9.6,17.7,20,IDH,IDH_20180822
S152676,Blue Tit,BLUTI,6,F,08/06/2018,,64,10.6,16.3,18.9,IDH,IDH_20180822
D534574,Great Tit,GRETI,6,M,08/06/2018,,76,17.7,21.1,23.5,IDH,IDH_20180822
S152309,Great Tit,GRETI,6,M,08/06/2018,,74,17.2,20.7,23.1,IDH,IDH_20180822
S842393,Great Tit,GRETI,5,F,08/06/2018,,72,16.5,20,22.3,IDH,IDH_20180822
S842434,Great Tit,GRETI,5,F,08/06/2018,,73,17.9,19.8,22.5,IDH,IDH_20180822
AYC3471,Blue Tit,BLUTI,5,F,08/06/2018,SP,61,10,17,19.8,SB,SB_20180731
AYC3472,Blue Tit,BLUTI,5,M,08/06/2018,SP,65,10,17.1,19.7,SB,SB_20180731
AYC3237,Blue Tit,BLUTI,6,F,09/06/2018,,61,9.9,16.8,18.9,IDH,IDH_20180822
AYC3238,Blue Tit,BLUTI,5,M,09/06/2018,,65,10.2,16.3,18.7,IDH,IDH_20180822
NZ05586,Great Tit,GRETI,5,F,09/06/2018,,73,17.2,20.3,22.9,IDH,IDH_20180822
NZ05587,Great Tit,GRETI,5,M,09/06/2018,,74,17,19.5,22.2,IDH,IDH_20180822
NZ05588,Great Tit,GRETI,5,F,09/06/2018,,73,16.8,19.6,22.1,IDH,IDH_20180822
S842294,Great Tit,GRETI,6,M,09/06/2018,,77,18.6,20.7,23.2,IDH,IDH_20180822
VZ72686,Great Tit,GRETI,5,F,09/06/2018,,72,17.5,20.1,22.9,IDH,IDH_20180822
D895527,Great Tit,GRETI,6,M,09/06/2018,KB,77,17.9,21.8,24.8,SB,SB_20180731
S152755,Great Tit,GRETI,6,F,09/06/2018,SP,74,15.8,18.9,21.9,SB,SB_20180731
TH99116,Great Tit,GRETI,6,M,09/06/2018,SP,78,,19.6,22.4,SB,SB_20180731
Z663182,Great Tit,GRETI,6,F,09/06/2018,GT,72,16.7,20.7,23.6,SB,SB_20180731
NZ05589,Great Tit,GRETI,5,M,10/06/2018,,78,17.9,20.4,23.2,IDH,IDH_20180822
NZ05594,Great Tit,GRETI,5,F,10/06/2018,,71,17.3,19.6,22.2,IDH,IDH_20180822
NZ05595,Great Tit,GRETI,5,M,10/06/2018,,75,17.6,21.5,24.2,IDH,IDH_20180822
NZ05596,Great Tit,GRETI,5,F,10/06/2018,,71,17,20.2,22.8,IDH,IDH_20180822
NZ05597,Great Tit,GRETI,5,M,10/06/2018,,76,18.7,21.1,23.9,IDH,IDH_20180822
D534813,Blue Tit,BLUTI,6,M,10/06/2018,SP,66,10,16.9,19.4,SB,SB_20180731
D895528,Great Tit,GRETI,6,F,10/06/2018,KB,72,17.7,21,24.2,SB,SB_20180731
S873612,Blue Tit,BLUTI,5,F,12/06/2018,,61,8.9,15.7,17.8,IDH,IDH_20180822
S873668,Blue Tit,BLUTI,5,M,12/06/2018,,64,9.6,16.9,19,IDH,IDH_20180822
NZ05802,Great Tit,GRETI,5,F,12/06/2018,,73,17,20,22.9,IDH,IDH_20180822
S152659,Blue Tit,BLUTI,6,F,12/06/2018,SP,63,10.2,17.5,19.8,SB,SB_20180731
D895555,Great Tit,GRETI,6,F,13/06/2018,,74,17.5,20.5,23.3,IDH,IDH_20180822
D895556,Great Tit,GRETI,6,M,13/06/2018,,76,17.9,20.5,23.1,IDH,IDH_20180822
AYC3483,Blue Tit,BLUTI,5,F,13/06/2018,KB,60,9.6,16.6,19.1,SB,SB_20180731
S842382,Blue Tit,BLUTI,5,M,13/06/2018,KB,59,9.6,16.8,19.4,SB,SB_20180731
S152754,Great Tit,GRETI,6,F,13/06/2018,KB,73,16.2,20.5,23.4,SB,SB_20180731
S114936,Great Tit,GRETI,6,M,14/06/2018,DD,77,16.9,20,23,SB,SB_20180731
S152234,Great Tit,GRETI,6,F,14/06/2018,DD,71,18.3,20.9,24,SB,SB_20180731
Z663124,Great Tit,GRETI,6,M,14/06/2018,KB,75,17.4,21.5,24.5,SB,SB_20180731
D895744,Great Tit,GRETI,6,F,15/06/2018,,73,17.1,20.6,23.3,IDH,IDH_20180822
VZ72641,Great Tit,GRETI,5,M,15/06/2018,,76,18.1,21.4,24.2,IDH,IDH_20180822
VZ80794,Great Tit,GRETI,5,M,15/06/2018,,74,16,20.5,23.2,IDH,IDH_20180822
VZ80797,Great Tit,GRETI,5,F,15/06/2018,,71,16.1,19.1,21.7,IDH,IDH_20180822
A057192,Blue Tit,BLUTI,6,F,15/06/2018,DD,61,9.6,16.2,18.7,SB,SB_20180731
AYC3489,Blue Tit,BLUTI,5,F,15/06/2018,KB,61,9.8,16.5,19.1,SB,SB_20180731
S152235,Blue Tit,BLUTI,6,M,15/06/2018,DD,65,9.9,17.3,19.8,SB,SB_20180731
S152848,Blue Tit,BLUTI,6,M,15/06/2018,KB,63,10.2,16.8,19.7,SB,SB_20180731
S152775,Great Tit,GRETI,6,F,18/06/2018,,75,17.6,20.1,22.3,IDH,IDH_20180822
Z663159,Great Tit,GRETI,6,M,19/06/2018,KB,78,17.4,21.1,23.9,SB,SB_20180731
S812479,Pied Flycatcher,PIEFL,5,F,20/06/2018,TMW,75,,15.3,18.5,JS,JS_20180621
S812480,Pied Flycatcher,PIEFL,5,F,20/06/2018,TMW,76,,16.6,19,JS,JS_20180621
Z621802,Pied Flycatcher,PIEFL,6,F,20/06/2018,TMW,76,,16.5,19.3,JS,JS_20180621
S812489,Pied Flycatcher,PIEFL,5,F,20/06/2018,TMR,77,,17.8,20,JS,JS_20180621
S812490,Pied Flycatcher,PIEFL,5,F,20/06/2018,TMB,76,,17.5,19.9,JS,JS_20180621
L739135,Great Tit,GRETI,6,F,20/06/2018,KB,75,16.3,21.3,24.2,SB,SB_20180731
VZ72639,Great Tit,GRETI,5,F,21/06/2018,DW,71,15.9,20,22.9,SB,SB_20180731
VZ80577,Great Tit,GRETI,5,M,21/06/2018,DW,75,18.3,21,23.8,SB,SB_20180731
VZ80583,Great Tit,GRETI,5,M,21/06/2018,PT,76,17.8,21,24.1,SB,SB_20180731
AYC3490,Robin,ROBIN,3J,,25/06/2018,DF,69,17.5,26.1,29,SB,SB_20180731
LK00750,Blackbird,BLABI,6,M,28/06/2018,DF,134,94,33.6,38.8,SB,SB_20180731
S873565,Blue Tit,BLUTI,6,F,28/06/2018,DF,62,10.5,17,19.2,SB,SB_20180731
LH54384,Blackbird,BLABI,3J,,14/07/2018,FORC,126,95.1,34.5,38.6,ARC,SB_20180808
LH54394,Blackbird,BLABI,3J,M,14/07/2018,FORC,123,81,30.7,34.4,ARC,SB_20180808
LH54395,Blackbird,BLABI,3J,,14/07/2018,FORC,120,75.6,33.4,37.5,ARC,SB_20180808
LH54396,Blackbird,BLABI,3J,M,14/07/2018,FORC,128,91.9,34.6,38.9,ARC,SB_20180808
LH54397,Blackbird,BLABI,3J,,14/07/2018,FORC,124,91.2,34,38,ARC,SB_20180808
AFB9822,Blue Tit,BLUTI,3J,,14/07/2018,FORC,62,10,15.7,17.6,ARC,SB_20180808
AFB9820,Great Tit,GRETI,3J,,14/07/2018,FORC,74,18.3,20.5,23.5,ARC,SB_20180808
AFB9821,Great Tit,GRETI,3J,,14/07/2018,FORC,75,15.2,20.9,23.3,ARC,SB_20180808
LH54399,Blackbird,BLABI,3J,M,16/07/2018,SOM,127,88.1,33.4,38.5,SB,SB_20180808
LK00720,Blackbird,BLABI,4,F,19/07/2018,DF,,88.3,32.3,37.2,SB,SB_20180808
LH54364,Blackbird,BLABI,5,M,20/07/2018,SOM,,101.1,33.6,38.4,SB,SB_20180808
AFB9824,Chaffinch,CHAFF,3J,,20/07/2018,SOM,85,19.4,18,21,SB,SB_20180808
AFB9825,Chaffinch,CHAFF,3J,,20/07/2018,SOM,81,17,18.2,20.8,SB,SB_20180808
LH54402,Blackbird,BLABI,3J,M,22/07/2018,FORC,127,85.5,35.2,40,SB,SB_20180808
LH54403,Blackbird,BLABI,3J,,22/07/2018,FORC,123,86.9,34.3,38.4,SB,SB_20180808
LH54404,Blackbird,BLABI,3J,,22/07/2018,FORC,128,93.3,34.9,39,SB,SB_20180808
LH54405,Blackbird,BLABI,3J,,22/07/2018,FORC,130,82.4,34.2,38.8,SB,SB_20180808
LH54406,Blackbird,BLABI,3J,,22/07/2018,FORC,126,93.5,34.4,39.4,SB,SB_20180808
LH54407,Blackbird,BLABI,3J,,22/07/2018,FORC,126,85.1,35,39.5,SB,SB_20180808
LH54408,Blackbird,BLABI,3J,,22/07/2018,FORC,125,91.6,34,38.3,SB,SB_20180808
LH54409,Blackbird,BLABI,3J,M,22/07/2018,FORC,126,87.2,34.2,39,SB,SB_20180808
LH54410,Blackbird,BLABI,3J,M,22/07/2018,FORC,130,88.3,33.9,38.6,SB,SB_20180808
LH54411,Blackbird,BLABI,3J,,22/07/2018,FORC,125,89.9,35,39.7,SB,SB_20180808
AFB9832,Blue Tit,BLUTI,3J,,22/07/2018,FORC,62,10,17.6,20,SB,SB_20180808
AFB9833,Blue Tit,BLUTI,4,,22/07/2018,FORC,,9.8,16.4,19.1,SB,SB_20180808
AFB9837,Blue Tit,BLUTI,3J,,22/07/2018,FORC,62,9.4,16.9,18.9,SB,SB_20180808
AFB9840,Chaffinch,CHAFF,3J,,22/07/2018,FORC,85,20.7,18,20.5,SB,SB_20180808
AFB9843,Chaffinch,CHAFF,3J,,22/07/2018,FORC,78,17.6,18.5,21.2,SB,SB_20180808
AFB9848,Chaffinch,CHAFF,3J,,22/07/2018,FORC,80,18.6,18,20.9,SB,SB_20180808
AFB9831,Great Tit,GRETI,5,M,22/07/2018,FORC,75,18.3,20.5,23.4,SB,SB_20180808
AFB9834,Great Tit,GRETI,3J,,22/07/2018,FORC,76,17,20.6,23.5,SB,SB_20180808
AFB9835,Great Tit,GRETI,3J,,22/07/2018,FORC,75,16.3,20.7,23.7,SB,SB_20180808
AFB9836,Great Tit,GRETI,3J,,22/07/2018,FORC,71,15.1,19.6,22.3,SB,SB_20180808
AFB9839,Great Tit,GRETI,3J,,22/07/2018,FORC,72,15.9,19.2,22.1,SB,SB_20180808
AFB9841,Great Tit,GRETI,3J,,22/07/2018,FORC,79,18.2,21.2,23.9,SB,SB_20180808
AFB9842,Great Tit,GRETI,3J,,22/07/2018,FORC,71,15.7,19.3,22.1,SB,SB_20180808
AFB9844,Great Tit,GRETI,3J,,22/07/2018,FORC,74,16.4,21.5,24.5,SB,SB_20180808
AYC3303,Blue Tit,BLUTI,3J,,23/07/2018,DF,64,9.8,16.8,19.1,SB,SB_20180808
AYC3304,Blue Tit,BLUTI,3J,,23/07/2018,DF,62,9.6,16.1,18.5,SB,SB_20180808
VZ80593,Great Tit,GRETI,3J,,23/07/2018,DF,73,18.8,20.8,23.8,SB,SB_20180808
AYC3305,Robin,ROBIN,3J,,23/07/2018,DF,74,19.9,26.9,29.6,SB,SB_20180808
LK00711,Blackbird,BLABI,4,F,31/07/2018,DF,,94.7,34.3,38.2,SB,SB_20180808
LK05051,Blackbird,BLABI,4,M,31/07/2018,DF,,96.4,35.8,40.5,SB,SB_20180808
AYC3309,Robin,ROBIN,3,,31/07/2018,DF,71,17.4,25.2,28.2,SB,SB_20180808
AYC3312,Robin,ROBIN,3J,,02/08/2018,DF,74,18.5,26.3,29.1,SB,SB_20180808
LK05052,Blackbird,BLABI,4,M,07/08/2018,DF,,95.4,33.4,38.3,SB,SB_20180808
AYC3196,Blue Tit,BLUTI,3J,,07/08/2018,DF,62,10.4,17,19.7,SB,SB_20180808
AYC3315,Blue Tit,BLUTI,3J,,07/08/2018,DF,61,9.8,16.9,19.2,SB,SB_20180808
VZ80594,Great Tit,GRETI,3J,,07/08/2018,DF,71,18.7,20.4,23.3,SB,SB_20180808
S873543,Robin,ROBIN,4,,07/08/2018,DF,,19.6,25.2,28.2,SB,SB_20180808
LK00744,Blackbird,BLABI,4,M,09/08/2018,DF,,94.9,34.3,39.7,SB,SB_20180808
AYC3318,Blue Tit,BLUTI,3,,09/08/2018,DF,60,10.4,17.5,19.2,SB,SB_20180808
AYC3320,Blue Tit,BLUTI,3J,,09/08/2018,DF,61,9.8,16.6,19,SB,SB_20180808
AYC3319,Robin,ROBIN,3,,09/08/2018,DF,71,16,25.7,28.6,SB,SB_20180808
S873802,Robin,ROBIN,4,,09/08/2018,DF,75,20.6,24.5,27.7,SB,SB_20180808
LH54412,Blackbird,BLABI,4,M,10/08/2018,CKM,,98.7,35.3,40,SB,SB_20180808
AFB9852,Blue Tit,BLUTI,4,,10/08/2018,CKM,62,10.7,16.6,18.9,SB,SB_20180808
AFB9853,Blue Tit,BLUTI,3J,,10/08/2018,CKM,63,11.1,16.9,19.1,SB,SB_20180808
AFB9849,Robin,ROBIN,4,,10/08/2018,CKM,74,20.4,25.8,29,SB,SB_20180808
AFB9850,Robin,ROBIN,3J,,10/08/2018,CKM,69,17.9,24.6,27.7,SB,SB_20180808
AFB9851,Robin,ROBIN,4,,10/08/2018,CKM,73,20.5,25.6,28.7,SB,SB_20180808
AFB9859,Chaffinch,CHAFF,3J,M,13/08/2018,SOM,88,22,19.6,22.5,SB,SB_20180808
AYC3493,Robin,ROBIN,3,,14/08/2018,DF,75,18.5,26,28.8,SB,SB_20180808
AFB9861,Blue Tit,BLUTI,4,,18/08/2018,CKM,,10,17,19.7,SB,SB_20180808
AFB9864,Blue Tit,BLUTI,4,,18/08/2018,CKM,,9.8,16.5,18.5,SB,SB_20180808
AFB9865,Blue Tit,BLUTI,3J,,18/08/2018,CKM,62,10,17.3,19.7,SB,SB_20180808
AFB9868,Blue Tit,BLUTI,5,,18/08/2018,CKM,,10.7,16.1,18.4,SB,SB_20180808
AFB9867,Great Tit,GRETI,4,F,18/08/2018,CKM,74,16.6,19,21.6,SB,SB_20180808
AFB9860,Robin,ROBIN,3,,18/08/2018,CKM,74,19,24.7,27.7,SB,SB_20180808
LK32022,Blackbird,BLABI,3J,M,21/08/2018,CCBO,127,106.4,35.7,40.4,SB,SB_20180808
AVA4599,Blue Tit,BLUTI,3J,,21/08/2018,CCBO,63,11.2,17.4,19.4,SB,SB_20180808
AVA4596,Great Tit,GRETI,3J,,21/08/2018,CCBO,73,20.4,21.5,24.4,SB,SB_20180808
AVA4604,Robin,ROBIN,3J,,21/08/2018,CCBO,72,19.1,26.8,29.7,SB,SB_20180808
AVA4610,Robin,ROBIN,3J,,21/08/2018,CCBO,75,20.1,26.5,29.6,SB,SB_20180808
AVA4611,Robin,ROBIN,3,,21/08/2018,CCBO,70,18.6,25.9,29,SB,SB_20180808
AVA4612,Robin,ROBIN,3J,,21/08/2018,CCBO,71,17.7,25.3,28.1,SB,SB_20180808
1B13946,Blackbird,BLABI,3,M,22/08/2018,Spain,127,84.1,33.21,37.89,IDH,IDH_20180822
2KA12508,Blackcap,BLACA,3,F,22/08/2018,Spain,,,21.12,23.63,IDH,IDH_20180822
2KA12539,Blackcap,BLACA,3,M,22/08/2018,Spain,,,19.11,21.36,IDH,IDH_20180822
2KA12548,Blackcap,BLACA,3,M,22/08/2018,Spain,,,20.47,22.36,IDH,IDH_20180822
2KA12551,Blackcap,BLACA,3,M,22/08/2018,Spain,,,20.56,23.51,IDH,IDH_20180822
2KA12552,Blackcap,BLACA,3,U,22/08/2018,Spain,,,20.07,22.28,IDH,IDH_20180822
2KA12553,Blackcap,BLACA,3,M,22/08/2018,Spain,,,20,22.69,IDH,IDH_20180822
2KA12558,Blackcap,BLACA,3,M,22/08/2018,Spain,,,20.13,22.69,IDH,IDH_20180822
1KA64800,Blue Tit,BLUTI,4,U,22/08/2018,Spain,,,17.05,19.45,IDH,IDH_20180822
2Y86311,Blue Tit,BLUTI,4,U,22/08/2018,Spain,,,16.84,18.93,IDH,IDH_20180822
2KA12491,Cettis Warbler,CETWA,4,M,22/08/2018,Spain,,,21.11,24.04,IDH,IDH_20180822
2KA12547,Garden Warbler,GARWA,3,U,22/08/2018,Spain,,,20.8,23.48,IDH,IDH_20180822
2KA12549,Garden Warbler,GARWA,3,U,22/08/2018,Spain,,,21.09,24.24,IDH,IDH_20180822
2KA12550,Garden Warbler,GARWA,3,U,22/08/2018,Spain,,,20.49,22.53,IDH,IDH_20180822
2KA12557,Garden Warbler,GARWA,4,U,22/08/2018,Spain,,,20.44,23.5,IDH,IDH_20180822
2Z03752,Iberian Chiffchaff,IBECH,3,F,22/08/2018,Spain,,,18.67,20.62,IDH,IDH_20180822
2Z03754,Iberian Chiffchaff,IBECH,3,F,22/08/2018,Spain,,,19.64,21.32,IDH,IDH_20180822
2Z03756,Iberian Chiffchaff,IBECH,3,M,22/08/2018,Spain,,,20.12,21.99,IDH,IDH_20180822
2Y89441,Melodious Warbler,MELWA,3,U,22/08/2018,Spain,,,19.16,21.1,IDH,IDH_20180822
2Z03755,Pied Flycatcher,PIEFL,3,U,22/08/2018,Spain,,,17.33,18.7,IDH,IDH_20180822
2Y86323,Robin,ROBIN,4,U,22/08/2018,Spain,,,25.66,28.26,IDH,IDH_20180822
2Y86395,Robin,ROBIN,3,U,22/08/2018,Spain,,,26.13,28.23,IDH,IDH_20180822
2Y89420,Robin,ROBIN,3,U,22/08/2018,Spain,,,25.17,27.6,IDH,IDH_20180822
2Y89437,Robin,ROBIN,3,U,22/08/2018,Spain,,,25.51,27.9,IDH,IDH_20180822
2Y89438,Robin,ROBIN,3,U,22/08/2018,Spain,,,25.28,27.78,IDH,IDH_20180822
2Y89439,Robin,ROBIN,3,U,22/08/2018,Spain,,,26.29,28.64,IDH,IDH_20180822
2Y89440,Robin,ROBIN,3,U,22/08/2018,Spain,,,25.87,28.53,IDH,IDH_20180822
2Y89442,Robin,ROBIN,3,U,22/08/2018,Spain,,,23.95,26.19,IDH,IDH_20180822
2Z03753,Willow Warbler,WILWA,4,U,22/08/2018,Spain,,,17.98,20.03,IDH,IDH_20180822
LK32025,Blackbird,BLABI,3J,F,22/08/2018,CCBO,126,93,33.5,38.4,SB,SB_20180808
AVA4615,Blue Tit,BLUTI,3J,,22/08/2018,CCBO,60,10.2,15.7,18.2,SB,SB_20180808
AVA4597,Blue Tit,BLUTI,3J,,22/08/2018,CCBO,61,,17,19.6,SB,SB_20180808
AVA4598,Blue Tit,BLUTI,3J,,22/08/2018,CCBO,60,10.3,17.1,19.6,SB,SB_20180808
AVA4616,Blue Tit,BLUTI,3J,,22/08/2018,CCBO,61,10.6,16.2,18.7,SB,SB_20180808
AVA4617,Robin,ROBIN,3,,22/08/2018,CCBO,71,17.5,25.3,28.4,SB,SB_20180808
AVA4618,Robin,ROBIN,3,,22/08/2018,CCBO,72,18.7,25.4,28.7,SB,SB_20180808
LH54413,Blackbird,BLABI,4,F,25/08/2018,CKM,,99,35.2,40.2,SB,SB_20180808
AFB9876,Blue Tit,BLUTI,4,,25/08/2018,CKM,62,10.3,16.4,19,SB,SB_20180808
AFB9879,Blue Tit,BLUTI,3J,,25/08/2018,CKM,63,10.7,16.6,19.4,SB,SB_20180808
AFB9881,Great Tit,GRETI,4,M,25/08/2018,CKM,76,17,19.9,23,SB,SB_20180808
AFB9869,Robin,ROBIN,3,,25/08/2018,CKM,73,16.7,25.7,28.5,SB,SB_20180808
AFB9851,Robin,ROBIN,4,,25/08/2018,CKM,73,18.4,25.5,28.4,SB,SB_20180808
AFB9878,Robin,ROBIN,3,,25/08/2018,CKM,70,17.4,26,29,SB,SB_20180808
AYC3325,Blue Tit,BLUTI,3J,,27/08/2018,DF,62,10.2,16.7,19.6,SB,SB_20180808
S152872,Great Tit,GRETI,4,M,27/08/2018,DF,78,19.3,19.8,22.9,SB,SB_20180808
LH54414,Blackbird,BLABI,4,M,16/09/2018,FORC,132,89,33.6,38.2,SB,SB_20180907
AFB9884,Blue Tit,BLUTI,3J,,16/09/2018,FORC,61,,17,19.6,SB,SB_20180907
AFB9885,Great Tit,GRETI,3,F,16/09/2018,FORC,72,18.5,22.7,19.6,SB,SB_20180907
AFB9886,Robin,ROBIN,3J,,16/09/2018,FORC,71,19.9,26.8,30.1,SB,SB_20180907
AFB9887,Robin,ROBIN,4,,16/09/2018,FORC,74,17.2,25,27.4,SB,SB_20180907
AFB9911,Robin,ROBIN,4,,16/09/2018,FORC,76,17.7,26.1,29,SB,SB_20180907
AFB9912,Great Tit,GRETI,3,F,16/09/2018,FORC,72,17,20.2,22.9,SB,SB_20180907
AFB9913,Blue Tit,BLUTI,3,,16/09/2018,FORC,64,11.1,17.5,20,SB,SB_20180907
AFB9918,Great Tit,GRETI,3J,,16/09/2018,FORC,75,20.7,20.1,22.7,SB,SB_20180907
AFB9919,Great Tit,GRETI,4,F,16/09/2018,FORC,,18.1,20,23,SB,SB_20180907
AFB9920,Great Tit,GRETI,3,F,16/09/2018,FORC,73,18.4,19.9,22.9,SB,SB_20180907
AFB9922,Great Tit,GRETI,3,M,16/09/2018,FORC,77,18.6,22.1,25,SB,SB_20180907
AFB9923,Robin,ROBIN,4,,16/09/2018,FORC,72,18.6,27.6,30.5,SB,SB_20180907
AFB9925,Blue Tit,BLUTI,3J,,16/09/2018,FORC,66,10.9,17.8,20.3,SB,SB_20180907
AFB9926,Blue Tit,BLUTI,3J,,16/09/2018,FORC,64,10.1,17.2,19.7,SB,SB_20180907
AFB9927,Blue Tit,BLUTI,3J,,16/09/2018,FORC,59,9.6,17.4,20,SB,SB_20180907
AFB9928,Blue Tit,BLUTI,3J,,16/09/2018,FORC,63,11.2,17.2,19.9,SB,SB_20180907
AFB9929,Blue Tit,BLUTI,3J,,16/09/2018,FORC,64,11.2,16.8,19.3,SB,SB_20180907
AYC3328,Blue Tit,BLUTI,3,,24/09/2018,BP,61,9.2,16.2,18.4,SB,SB_20181008
AYC3331,Blue Tit,BLUTI,3J,,24/09/2018,BP,63,10.9,17,20,SB,SB_20181008
AYC3338,Blue Tit,BLUTI,3J,,24/09/2018,BP,63,10.8,17.4,20.6,SB,SB_20181008
AYC3344,Blue Tit,BLUTI,3,,24/09/2018,BP,61,9.4,16,19.1,SB,SB_20181008
D534574,Great Tit,GRETI,4,M,24/09/2018,BP,76,18.5,21,24,SB,SB_20181008
S842393,Great Tit,GRETI,4,F,24/09/2018,BP,73,17.3,19.9,23.2,SB,SB_20181008
AYC3354,Robin,ROBIN,3,,25/09/2018,CB,71,17.4,26.3,28.9,SB,SB_20181008
AYC3357,Blue Tit,BLUTI,4,,25/09/2018,CB,62,10.9,16.8,19.2,SB,SB_20181008
AYC3359,Robin,ROBIN,3,,25/09/2018,CB,73,18.6,25.7,28.1,SB,SB_20181008
S873997,Blue Tit,BLUTI,4,,25/09/2018,CB,65,11.6,17.4,19.8,SB,SB_20181016
S873998,Blue Tit,BLUTI,4,,25/09/2018,CB,61,9.4,16.4,18.6,SB,SB_20181016
VZ80599,Great Tit,GRETI,4,M,25/09/2018,CB,74,18.3,21,24,SB,SB_20181016
AYC3374,Blue Tit,BLUTI,3,,26/09/2018,KB,61,10.4,16.6,19.2,SB,SB_20181016
S842727,Blue Tit,BLUTI,4,,26/09/2018,KB,63,11,17.7,20.8,SB,SB_20181016
VZ80523,Great Tit,GRETI,3,F,26/09/2018,KB,70,17,19,21.6,SB,SB_20181022
VZ80600,Great Tit,GRETI,3,M,26/09/2018,KB,77,19.3,20.6,23.6,SB,SB_20181023
VZ80638,Great Tit,GRETI,4,F,26/09/2018,KB,72,17.4,20.7,23.9,SB,SB_20181024
VZ80985,Great Tit,GRETI,3,F,26/09/2018,KB,71,17.1,19.9,22.7,SB,SB_20181025
VZ80986,Great Tit,GRETI,3,F,26/09/2018,KB,74,18.2,20.1,23.4,SB,SB_20181025
ALA900,Chiffchaff,CHIFF,3,,27/09/2018,Pontcanna Riding Stables,56,6.8,18.7,20,ARC,RJF_20180929
Y638701,Robin,ROBIN,3,,27/09/2018,Pontcanna Riding Stables,72,16,25.6,27.4,ARC,RJF_20180929
Y638702,Robin,ROBIN,3,,27/09/2018,Pontcanna Riding Stables,73,17.7,24.7,27.3,ARC,RJF_20180929
Y638703,Robin,ROBIN,3,,27/09/2018,Pontcanna Riding Stables,72,17,26,28.5,ARC,RJF_20180929
Y638704,Robin,ROBIN,4,,27/09/2018,Pontcanna Riding Stables,74,17.1,25.7,27.5,ARC,RJF_20180929
Y638705,Great Tit,GRETI,4,,27/09/2018,Pontcanna Riding Stables,74,17.1,19.6,21.2,ARC,RJF_20180929
AYC3378,Chaffinch,CHAFF,4,F,27/09/2018,DW,81,20.9,18.4,21,SB,SB_20181025
AYC3383,Blue Tit,BLUTI,3J,,27/09/2018,DW,61,10.1,16.5,19,SB,SB_20181025
AYC3384,Blue Tit,BLUTI,3J,,27/09/2018,DW,65,11.5,17.8,20.7,SB,SB_20181025
VZ80987,Great Tit,GRETI,3,M,27/09/2018,DW,73,18.8,21.4,23.8,SB,SB_20181025
VZ80988,Great Tit,GRETI,3,M,27/09/2018,DW,75,19.8,21.7,25,SB,SB_20181025
VZ80989,Great Tit,GRETI,4,F,27/09/2018,DW,73,16.2,20,22.9,SB,SB_20181025
VZ80990,Great Tit,GRETI,4,M,27/09/2018,DW,78,18.1,21.1,24.1,SB,SB_20181025
VZ80991,Great Tit,GRETI,3,F,27/09/2018,DW,70,17.4,20.4,23.2,SB,SB_20181025
VZ80992,Great Tit,GRETI,3,F,27/09/2018,DW,73,19.8,20.3,23.2,SB,SB_20181025
VZ80993,Great Tit,GRETI,3,F,27/09/2018,DW,72,17.3,20.3,23.1,SB,SB_20181025
VZ80994,Great Tit,GRETI,3,F,27/09/2018,DW,72,18.1,19.9,22.9,SB,SB_20181025
