record_type,ring_no,scheme,species,code,age,sex,visit_date,capture_time,location_name,wing,weight,ringer,min_t,max_t,sheet
N,Y638709,,Goldfinch,GOLFI,3,F,29/09/2018,08:00,Crockernwell,75,14,RJF,14.4,16.7,RJF_20180943
N,Y638710,,Willow Tit,WILTI,3,,29/09/2018,08:00,Crockernwell,60,10.2,RJF,16.2,18,RJF_20180944
N,Y638711,,Willow Tit,WILTI,3,,29/09/2018,09:00,Crockernwell,61,10.3,RJF,16.3,18.4,RJF_20180945
,TL73373,,Dunnock,DUNNO,3,,30/09/2018,10:00,Crockernwell,72,21.8,RJF,22.1,24.7,RJF_20180939
N,LC97736,,Blackbird,BLABI,3,F,30/09/2018,07:00,Crockernwell,135,96.5,RJF,34.2,38,RJF_20180946
N,Y638712,,Robin,ROBIN,4,,30/09/2018,07:00,Crockernwell,70,17.8,RJF,25.2,27.8,RJF_20180947
N,Y638713,,Blue Tit,BLUTI,3,,30/09/2018,08:00,Crockernwell,64,12.6,RJF,17.5,20,RJF_20180948
N,Y638714,,Blue Tit,BLUTI,3,,30/09/2018,08:00,Crockernwell,65,12.4,RJF,18.1,20.6,RJF_20180949
N,Y638715,,Blue Tit,BLUTI,3,,30/09/2018,08:00,Crockernwell,63,10.8,RJF,17,19.7,RJF_20180950
N,Y638716,,Blue Tit,BLUTI,4,,30/09/2018,08:00,Crockernwell,62,10,RJF,16,17.9,RJF_20180951
N,Y638717,,Blue Tit,BLUTI,3,,30/09/2018,08:00,Crockernwell,62,10.5,RJF,17.2,19.6,RJF_20180952
N,Y638718,,Blue Tit,BLUTI,3,,30/09/2018,08:00,Crockernwell,62,10.6,RJF,16.7,19.7,RJF_20180953
N,Y638719,,Robin,ROBIN,4,,30/09/2018,08:00,Crockernwell,71,17.6,RJF,24.6,27.3,RJF_20180954
N,Y638720,,Robin,ROBIN,4,,30/09/2018,08:00,Crockernwell,72,16.9,RJF,25.2,27.4,RJF_20180955
N,AYC3328,,Blue Tit,BLUTI,3,,24/09/2018,,BP,61,9.2,SB,16.2,18.4,SB_20181008
N,AYC3331,,Blue Tit,BLUTI,3J,,24/09/2018,,BP,63,10.9,SB,17,20,SB_20181009
N,AYC3338,,Blue Tit,BLUTI,3J,,24/09/2018,,BP,63,10.8,SB,17.4,20.6,SB_20181010
N,AYC3344,,Blue Tit,BLUTI,3,,24/09/2018,,BP,61,9.4,SB,16,19.1,SB_20181011
N,D534574,,Great Tit,GRETI,4,M,24/09/2018,,BP,76,18.5,SB,21,24,SB_20181012
N,S842393,,Great Tit,GRETI,4,F,24/09/2018,,BP,73,17.3,SB,19.9,23.2,SB_20181013
N,AYC3354,,Robin,ROBIN,3,,25/09/2018,,CB,71,17.4,SB,26.3,28.9,SB_20181014
N,AYC3357,,Blue Tit,BLUTI,4,,25/09/2018,,CB,62,10.9,SB,16.8,19.2,SB_20181015
N,AYC3359,,Robin,ROBIN,3,,25/09/2018,,CB,73,18.6,SB,25.7,28.1,SB_20181016
N,S873997,,Blue Tit,BLUTI,4,,25/09/2018,,CB,65,11.6,SB,17.4,19.8,SB_20181017
N,S873998,,Blue Tit,BLUTI,4,,25/09/2018,,CB,61,9.4,SB,16.4,18.6,SB_20181018
N,VZ80599,,Great Tit,GRETI,4,M,25/09/2018,,CB,74,18.3,SB,21,24,SB_20181019
N,AYC3374,,Blue Tit,BLUTI,3,,26/09/2018,,KB,61,10.4,SB,16.6,19.2,SB_20181020
N,S842727,,Blue Tit,BLUTI,4,,26/09/2018,,KB,63,11,SB,17.7,20.8,SB_20181021
N,VZ80523,,Great Tit,GRETI,3,F,26/09/2018,,KB,70,17,SB,19,21.6,SB_20181022
N,VZ80600,,Great Tit,GRETI,3,M,26/09/2018,,KB,77,19.3,SB,20.6,23.6,SB_20181023
N,VZ80638,,Great Tit,GRETI,4,F,26/09/2018,,KB,72,17.4,SB,20.7,23.9,SB_20181024
N,VZ80985,,Great Tit,GRETI,3,F,26/09/2018,,KB,71,17.1,SB,19.9,22.7,SB_20181025
N,VZ80986,,Great Tit,GRETI,3,F,26/09/2018,,KB,74,18.2,SB,20.1,23.4,SB_20181026
N,AYC3378,,Chaffinch,CHAFF,4,F,27/09/2018,,DW,81,20.9,SB,18.4,21,SB_20181027
N,AYC3383,,Blue Tit,BLUTI,3J,,27/09/2018,,DW,61,10.1,SB,16.5,19,SB_20181028
N,AYC3384,,Blue Tit,BLUTI,3J,,27/09/2018,,DW,65,11.5,SB,17.8,20.7,SB_20181029
N,VZ80987,,Great Tit,GRETI,3,M,27/09/2018,,DW,73,18.8,SB,21.4,23.8,SB_20181030
N,VZ80988,,Great Tit,GRETI,3,M,27/09/2018,,DW,75,19.8,SB,21.7,25,SB_20181031
N,VZ80989,,Great Tit,GRETI,4,F,27/09/2018,,DW,73,16.2,SB,20,22.9,SB_20181032
N,VZ80990,,Great Tit,GRETI,4,M,27/09/2018,,DW,78,18.1,SB,21.1,24.1,SB_20181033
N,VZ80991,,Great Tit,GRETI,3,F,27/09/2018,,DW,70,17.4,SB,20.4,23.2,SB_20181034
N,VZ80992,,Great Tit,GRETI,3,F,27/09/2018,,DW,73,19.8,SB,20.3,23.2,SB_20181035
N,VZ80993,,Great Tit,GRETI,3,F,27/09/2018,,DW,72,17.3,SB,20.3,23.1,SB_20181036
N,VZ80994,,Great Tit,GRETI,3,F,27/09/2018,,DW,72,18.1,SB,19.9,22.9,SB_20181037
N,AFB9934,,Robin,ROBIN,3,,29/09/2018,,FORC,76,17.8,SB,25.8,28.7,SB_20181038
N,AFB9935,,Great Tit,GRETI,4,F,29/09/2018,,FORC,73,17,SB,18.6,21.3,SB_20181039
N,AFB9937,,Blue Tit,BLUTI,3,,29/09/2018,,FORC,63,10.4,SB,17,19.2,SB_20181040
N,AFB9942,,Blue Tit,BLUTI,3,,29/09/2018,,FORC,61,9.9,SB,16.4,18.9,SB_20181041
N,AFB9943,,Great Tit,GRETI,4,F,29/09/2018,,FORC,74,17.5,SB,20.9,23.8,SB_20181042
N,AFB9945,,Great Tit,GRETI,4,M,29/09/2018,,FORC,77,20.8,SB,22,25.1,SB_20181043
N,AFB9949,,Great Tit,GRETI,3,F,29/09/2018,,FORC,74,17.5,SB,20,23.3,SB_20181044
N,AFB9951,,Great Tit,GRETI,4,F,29/09/2018,,FORC,76,17.5,SB,21,23.6,SB_20181045
N,AFB9952,,Blue Tit,BLUTI,4,,29/09/2018,,FORC,65,10.9,SB,17.8,20.1,SB_20181046
N,AFB9956,,Chaffinch,CHAFF,4,M,29/09/2018,,FORC,89,21.8,SB,18.7,21,SB_20181047
N,AFB9957,,Blue Tit,BLUTI,3,,29/09/2018,,FORC,59,10.7,SB,17.4,20.3,SB_20181048
N,AFB9958,,Blue Tit,BLUTI,3,,29/09/2018,,FORC,61,9.6,SB,16.6,18.9,SB_20181049
N,AFB9960,,Chaffinch,CHAFF,3,M,29/09/2018,,FORC,87,20.8,SB,18.4,21.1,SB_20181050
N,AFB9961,,Chaffinch,CHAFF,4,F,29/09/2018,,FORC,81,19.5,SB,17.9,19.7,SB_20181051
N,AFB9962,,Chaffinch,CHAFF,3,M,29/09/2018,,FORC,84,21.1,SB,18,20.8,SB_20181052
N,AFB9964,,Chaffinch,CHAFF,3,F,29/09/2018,,FORC,78,18.3,SB,18,20.8,SB_20181053
N,AFB9966,,Blue Tit,BLUTI,3,,29/09/2018,,FORC,62,10.5,SB,16.7,19.3,SB_20181054
N,AFB9972,,Blue Tit,BLUTI,4,,29/09/2018,,FORC,65,10,SB,16.9,19.5,SB_20181055
N,AFB9973,,Great Tit,GRETI,3,F,29/09/2018,,FORC,70,17.9,SB,20.7,23.8,SB_20181056
N,AFB9976,,Blue Tit,BLUTI,3,,29/09/2018,,FORC,59,10,SB,16.7,19.3,SB_20181057
N,AFB9978,,Blue Tit,BLUTI,3,,29/09/2018,,FORC,62,10.5,SB,16.7,19.1,SB_20181058
N,LH54415,,Blackbird,BLABI,3,F,29/09/2018,,FORC,124,91.9,SB,36,41.3,SB_20181059
N,NZ05849,,Great Tit,GRETI,3,F,30/09/2018,,BP,72,17.5,SB,20.4,23,SB_20181060
N,S873825,,Blue Tit,BLUTI,3,,30/09/2018,,BP,61,10.3,SB,16.6,19.1,SB_20181061
N,S873827,,Chaffinch,CHAFF,4,F,30/09/2018,,BP,79,,SB,18.4,21.3,SB_20181062
N,NZ05850,,Great Tit,GRETI,3,M,01/10/2018,,DD,76,19.5,SB,20.6,23.6,SB_20181063
N,NZ05851,,Great Tit,GRETI,3,M,01/10/2018,,DD,76,20.2,SB,20.5,23.8,SB_20181064
N,NZ05852,,Great Tit,GRETI,3,M,01/10/2018,,DD,76,19.7,SB,21.5,24.6,SB_20181065
N,S152240,,Great Tit,GRETI,4,F,01/10/2018,,DD,75,18.3,SB,20,23,SB_20181066
N,S842965,,Blue Tit,BLUTI,4,,01/10/2018,,DD,62,9.8,SB,15.5,18.2,SB_20181067
N,S873829,,Blue Tit,BLUTI,3,,01/10/2018,,DD,63,10.2,SB,17.2,19.9,SB_20181068
N,S873830,,Robin,ROBIN,3,,01/10/2018,,DD,74,18.1,SB,26.6,29.1,SB_20181069
N,S873831,,Robin,ROBIN,4,,01/10/2018,,DD,76,20.2,SB,26.5,29.2,SB_20181070
N,S873832,,Blue Tit,BLUTI,3,,01/10/2018,,DD,66,10.4,SB,17.8,20.4,SB_20181071
N,S873833,,Blue Tit,BLUTI,3,,01/10/2018,,DD,61,9.9,SB,16.1,18.6,SB_20181072
N,VZ72668,,Great Tit,GRETI,4,F,01/10/2018,,DD,74,17.3,SB,21.2,24.3,SB_20181073
N,VZ80771,,Great Tit,GRETI,4,M,01/10/2018,,DD,75,18.2,SB,20.4,23.4,SB_20181074
N,AFB9981,,Great Tit,GRETI,3,F,02/10/2018,,FORC,70,17.8,SB,19.7,22.4,SB_20181075
N,AFB9982,,Great Tit,GRETI,3,F,02/10/2018,,FORC,72,18.8,SB,21,24.1,SB_20181076
N,AFB9984,,Great Tit,GRETI,3,F,02/10/2018,,FORC,73,17,SB,19.8,22.7,SB_20181077
N,AFB9987,,Blue Tit,BLUTI,3,,02/10/2018,,FORC,62,10.4,SB,16.9,19.8,SB_20181078
N,AFB9990,,Blue Tit,BLUTI,3,,02/10/2018,,FORC,63,10.1,SB,17.2,19.7,SB_20181079
N,NZ05853,,Great Tit,GRETI,3,M,04/10/2018,,IN,76,18.7,SB,20.6,23.6,SB_20181080
N,S842428,,Blue Tit,BLUTI,4,,04/10/2018,,IN,63,9.6,SB,16.4,19,SB_20181081
N,S842500,,Great Tit,GRETI,4,M,04/10/2018,,IN,75,18.4,SB,20.7,23.7,SB_20181082
N,Z663192,,Blue Tit,BLUTI,4,,04/10/2018,,IN,66,10.6,SB,17.1,19.6,SB_20181083
N,AVA4591,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,64,10.8,SB,17.3,20.1,SB_20181084
N,AVA4624,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,62,10.2,SB,15.7,18.2,SB_20181085
N,AVA4626,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,62,10.3,SB,16.5,18.7,SB_20181086
N,AVA4650,,Robin,ROBIN,3,,06/10/2018,,CCBO,71,17.3,SB,26.4,29.4,SB_20181087
N,AVA4651,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,61,9.5,SB,16,18.7,SB_20181088
N,AVA4654,,Great Tit,GRETI,3,M,06/10/2018,,CCBO,73,17.1,SB,20.1,23.3,SB_20181089
N,AVA4655,,Great Tit,GRETI,3,F,06/10/2018,,CCBO,72,16.7,SB,20.3,23.4,SB_20181090
N,AVA4657,,Great Tit,GRETI,3,M,06/10/2018,,CCBO,76,19,SB,20.7,23.7,SB_20181091
N,AVA4660,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,59,9.7,SB,16.1,18.6,SB_20181092
N,AVA4661,,Great Tit,GRETI,3,F,06/10/2018,,CCBO,70,16.5,SB,19.8,22.8,SB_20181093
N,AVA4662,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,82,22.3,SB,18.6,21.6,SB_20181094
N,AVA4663,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,80,20.1,SB,18.6,21.6,SB_20181095
N,AVA4664,,Chaffinch,CHAFF,3,M,06/10/2018,,CCBO,87,21.2,SB,18.7,21.6,SB_20181096
N,AVA4665,,Chaffinch,CHAFF,4,F,06/10/2018,,CCBO,83,19,SB,17.9,20.3,SB_20181097
N,AVA4666,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,80,19.4,SB,19,21.8,SB_20181098
N,AVA4667,,Chaffinch,CHAFF,4,F,06/10/2018,,CCBO,81,19.3,SB,17.6,20.3,SB_20181099
N,AVA4668,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,80,20.3,SB,18.6,20.8,SB_20181100
N,AVA4669,,Chaffinch,CHAFF,4,F,06/10/2018,,CCBO,84,20.7,SB,19.1,22.3,SB_20181101
N,AVA4670,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,79,19.7,SB,17.3,19.9,SB_20181102
N,AVA4671,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,81,20.3,SB,19,21.5,SB_20181103
N,AVA4672,,Chaffinch,CHAFF,4,F,06/10/2018,,CCBO,83,21,SB,17.9,20.7,SB_20181104
N,AVA4673,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,80,18.4,SB,17.5,20.2,SB_20181105
N,AVA4674,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,77,19.9,SB,17.7,20.3,SB_20181106
N,AVA4675,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,79,19.7,SB,17.5,19.9,SB_20181107
N,AVA4695,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,61,9.7,SB,16.7,19.5,SB_20181108
N,AVA4696,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,60,9.3,SB,16.9,19.5,SB_20181109
N,AVA4697,,Great Tit,GRETI,3,F,06/10/2018,,CCBO,74,17.8,SB,19.7,23.1,SB_20181110
N,AVA4698,,Chaffinch,CHAFF,4,F,06/10/2018,,CCBO,79,18.2,SB,18.4,21.1,SB_20181111
N,AVA4699,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,60,9.6,SB,15.8,18.8,SB_20181112
N,AVA4700,,Chaffinch,CHAFF,3,M,06/10/2018,,CCBO,85,23.2,SB,18,20.7,SB_20181113
N,AVA4701,,Chaffinch,CHAFF,3,F,06/10/2018,,CCBO,82,21.9,SB,18.9,21.8,SB_20181114
N,AVA4703,,Blue Tit,BLUTI,3,,06/10/2018,,CCBO,63,10.5,SB,17.2,19.7,SB_20181115
N,AVA4631,,Robin,ROBIN,3,,07/10/2018,,CCBO,73,17.2,SB,26,28.7,SB_20181116
N,AVA4706,,Chaffinch,CHAFF,3,F,07/10/2018,,CCBO,81,21,SB,18.7,21.5,SB_20181117
N,AVA4707,,Chaffinch,CHAFF,3,F,07/10/2018,,CCBO,84,21.3,SB,18.3,22.2,SB_20181118
N,AVA4708,,Blue Tit,BLUTI,3,,07/10/2018,,CCBO,60,10.3,SB,16.8,20,SB_20181119
N,X469531,,Robin,ROBIN,4,,07/10/2018,,CCBO,74,17,SB,25.1,28.1,SB_20181120
N,NZ05854,,Great Tit,GRETI,3,M,08/10/2018,,DW,76,19.7,SB,20.3,23.2,SB_20181121
N,NZ05855,,Great Tit,GRETI,3,F,08/10/2018,,DW,73,17.4,SB,21.2,24.6,SB_20181122
N,NZ05856,,Great Tit,GRETI,3,F,08/10/2018,,DW,72,16.5,SB,19.7,22.6,SB_20181123
N,NZ05857,,Great Tit,GRETI,3,F,08/10/2018,,DW,71,18.6,SB,20.2,23.3,SB_20181124
N,NZ05858,,Great Tit,GRETI,3,M,08/10/2018,,DW,76,18.1,SB,21.3,24.2,SB_20181125
N,NZ05859,,Great Tit,GRETI,3,F,08/10/2018,,DW,73,18,SB,20.2,22.8,SB_20181126
N,NZ05860,,Great Tit,GRETI,3,F,08/10/2018,,DW,73,16.9,SB,21.1,24.1,SB_20181127
N,NZ05861,,Great Tit,GRETI,4,M,08/10/2018,,DW,77,18.3,SB,21,23.9,SB_20181128
N,S873838,,Blue Tit,BLUTI,3,,08/10/2018,,DW,63,10.7,SB,17.1,19.6,SB_20181129
N,S873839,,Chaffinch,CHAFF,4,F,08/10/2018,,DW,83,18.6,SB,18.1,21,SB_20181130
N,S873840,,Blue Tit,BLUTI,3J,,08/10/2018,,DW,66,10.9,SB,16,18.7,SB_20181131
N,S873843,,Chaffinch,CHAFF,3,F,08/10/2018,,DW,79,19.2,SB,19.1,21.6,SB_20181132
N,S873844,,Chaffinch,CHAFF,3,M,08/10/2018,,DW,87,20.8,SB,19.3,22.2,SB_20181133
N,S873845,,Chaffinch,CHAFF,3,M,08/10/2018,,DW,86,20.6,SB,18.3,21.2,SB_20181134
N,S873846,,Chaffinch,CHAFF,3,F,08/10/2018,,DW,80,21.1,SB,18,20.7,SB_20181135
N,S873847,,Chaffinch,CHAFF,3,F,08/10/2018,,DW,80,19.8,SB,18.1,20.8,SB_20181136
N,S873848,,Chaffinch,CHAFF,4,F,08/10/2018,,DW,84,19.1,SB,18.1,21,SB_20181137
N,S873849,,Chaffinch,CHAFF,3,M,08/10/2018,,DW,87,22.3,SB,18.5,21.2,SB_20181138
N,S873850,,Chaffinch,CHAFF,3,F,08/10/2018,,DW,78,19.3,SB,18.2,20.8,SB_20181139
N,S873851,,Chaffinch,CHAFF,3,F,08/10/2018,,DW,83,20.4,SB,18.8,21.7,SB_20181140
N,S873852,,Chaffinch,CHAFF,3,F,08/10/2018,,DW,83,19.8,SB,18.9,21.7,SB_20181141
N,S873853,,Chaffinch,CHAFF,3,F,08/10/2018,,DW,80,18.7,SB,18.4,21.1,SB_20181142
N,S873854,,Chaffinch,CHAFF,3,M,08/10/2018,,DW,86,23,SB,19,21.7,SB_20181143
N,S873855,,Chaffinch,CHAFF,3,F,08/10/2018,,DW,80,18.4,SB,18.9,21.5,SB_20181144
N,S873856,,Blue Tit,BLUTI,3,,08/10/2018,,DW,61,9.9,SB,16.5,18.8,SB_20181145
